"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000112984",297.183518240113,-2.22368399105004,0.285422088030656,-7.7908616196908,6.65537728968222e-15,1.13607290334875e-10
"ENSG00000168542",1262.94857358414,1.40199217162148,0.187573426011202,7.47436458050164,7.75777878164363e-14,6.62126419013284e-10
"ENSG00000117724",854.89425081988,-1.77076570188937,0.255365784102579,-6.93423243099027,4.08432654085659e-12,1.74455442038436e-08
"ENSG00000117399",468.973159566567,-2.17659977858145,0.313897710914214,-6.9341052925878,4.08800098508344e-12,1.74455442038436e-08
"ENSG00000168497",226.138285989569,1.73029495002715,0.253944785047628,6.81366600894215,9.51424505443465e-12,3.24816326158399e-08
"ENSG00000086696",416.272088412399,1.7286743547437,0.25579773776507,6.7579735843143,1.39935034473352e-11,3.98115173076687e-08
"ENSG00000164125",255.25410415589,1.79981705160987,0.268336442341702,6.70731502550805,1.98238002194741e-11,4.83417528209176e-08
"ENSG00000127920",1175.53378361353,1.69786352234893,0.258658162783302,6.56412117088825,5.23406279102479e-11,9.92727242697702e-08
"ENSG00000188610",127.821301587625,-1.81629118085168,0.276229166605815,-6.5753055811212,4.85533475966455e-11,9.92727242697702e-08
"ENSG00000134057",901.303569870135,-1.73246536829172,0.266931076865229,-6.49030974076665,8.56600797875107e-11,1.46221756197281e-07
"ENSG00000157193",1794.52689590125,-1.31817001656402,0.204155808917077,-6.45668631010847,1.07020407697756e-10,1.66076214490973e-07
"ENSG00000131747",2437.44144657103,-1.63725084286252,0.256613035510347,-6.38023255368298,1.76819268103014e-10,1.96300080140184e-07
"ENSG00000140285",2093.20674051597,1.55515924284595,0.244273513441604,6.36646692035944,1.93431993490899e-10,1.96300080140184e-07
"ENSG00000108691",2255.15292752348,1.99824074939304,0.314054682944677,6.36271597881268,1.98217023864567e-10,1.96300080140184e-07
"ENSG00000106538",1444.32561138725,1.31503418211002,0.205987589901037,6.38404567353697,1.72469613521502e-10,1.96300080140184e-07
"ENSG00000189184",406.638156755018,1.78701512942672,0.278747788105588,6.41086747834502,1.44693932804807e-10,1.96300080140184e-07
"ENSG00000176971",305.143844854104,2.10946887757938,0.329478142185648,6.40245469270243,1.52898509150398e-10,1.96300080140184e-07
