"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000275198",4.26504028264888,-22.4190088020085,2.24181979066567,-10.0003617129955,1.51841418751686e-23,3.42404245610818e-19
"ENSG00000267905",2.11790805822916,-29.9642312476421,3.00928794923082,-9.95724960627346,2.34459220494945e-23,3.42404245610818e-19
"ENSG00000159712",2.67758268338614,-29.9885438826344,3.52016031603396,-8.51908469794395,1.608192053709e-17,1.56573578349108e-13
"ENSG00000202318",1.74983470519583,-29.7019472920915,3.65545884536072,-8.1253677167744,4.46008177819588e-16,3.25675171443863e-12
"ENSG00000237505",1.4256033305965,-29.7855807706768,3.72678774297583,-7.99229331662797,1.32451447365943e-15,6.44773645777409e-12
"ENSG00000235066",1.22412192644494,-29.802725880083,3.72801544566249,-7.99426030135101,1.30354097061397e-15,6.44773645777409e-12
"ENSG00000270499",1.76582101393378,-29.61342577518,3.71886132894927,-7.96303576706556,1.67868910666494e-15,7.00445020392423e-12
"ENSG00000086991",2.68262656769771,-22.4873869383994,2.87935879142909,-7.8098592663537,5.72518771416072e-15,2.09026603444008e-11
"ENSG00000185674",0.874609659313425,-28.8897524173878,3.72561820203152,-7.75435131856364,8.8796190447178e-15,2.88173236731242e-11
"ENSG00000262712",0.880331446252305,-28.7997388542062,3.74576181909369,-7.6886198976673,1.48730600677412e-14,4.34412338458586e-11
"ENSG00000147606",4.40117065853528,20.0563140435789,2.66483609241994,7.52628429967179,5.22046075395577e-14,1.38617470637764e-10
"ENSG00000162728",1.26270324704265,-28.426375113175,3.78999535718919,-7.50037201477132,6.3636965261597e-14,1.54892373446727e-10
"ENSG00000134757",1.53347541122046,-27.8980901465046,3.78499114912161,-7.37071476454548,1.69715617055333e-13,3.81311826380935e-10
"ENSG00000236890",2.69901979359776,-22.9039582336169,3.16326318951722,-7.2406109961127,4.46667856865232e-13,9.3187676880855e-10
"ENSG00000241954",2.26795594409082,-23.83379175146,3.40318394852066,-7.00338039670774,2.49859219872987e-12,4.65976009225224e-09
"ENSG00000159261",2.17345615466143,-23.5785833750731,3.36818361962086,-7.00038538211501,2.55259386045042e-12,4.65976009225224e-09
"ENSG00000102962",2.7191264630455,18.8783323036526,2.82032274283254,6.69367800250141,2.17630015559517e-11,3.73913970262492e-08
"ENSG00000224294",7.60473354298668,24.1980015850118,3.68585443798628,6.56509962401881,5.19980859319054e-11,8.43755607721718e-08
"ENSG00000256603",1.95511395574295,-22.8808400281763,3.49147922821634,-6.55333700491904,5.6265341582647e-11,8.64946366813659e-08
"ENSG00000204889",1.22993217552622,-24.1131441050895,3.75251878362961,-6.425855670672,1.3112977643378e-10,1.91501925503892e-07
"ENSG00000250878",1.91164643235656,-23.9886237898166,3.75224723430461,-6.39313517790155,1.62518463684357e-10,2.26039966061557e-07
"ENSG00000258337",1.75961037153517,-23.7998907664081,3.75298712776939,-6.34158603697468,2.27411696681945e-10,3.01920038031193e-07
"ENSG00000236478",1.54639552874951,-23.7100792467526,3.75524474296845,-6.31385725022285,2.72165004178868e-10,3.4562588878506e-07
"ENSG00000225117",1.50563836371859,-21.6534716873617,3.43802423318762,-6.29823125687666,3.01061130606132e-10,3.66391395947663e-07
"ENSG00000168269",3.61949775097275,17.7037972367598,2.82338538414147,6.27041470718072,3.60087755931747e-10,4.20697727010178e-07
"ENSG00000274356",1.54536186190553,-23.2952514392737,3.72740443587529,-6.24972466498752,4.11176889391221e-10,4.61909791743799e-07
"ENSG00000189269",1.57420354014259,-23.3547658477698,3.75324688198908,-6.22254985672369,4.89139270734169e-10,5.17569157269515e-07
"ENSG00000207208",2.64656939516934,19.6791243353756,3.16368702056166,6.22031326344092,4.96163256763435e-10,5.17569157269515e-07
"ENSG00000240137",1.53361335685857,-23.2071905621342,3.74909314032786,-6.19008109254514,6.01332710135675e-10,6.05645717160096e-07
"ENSG00000152463",1.30896755360683,-23.0683653958039,3.75618226811111,-6.14143929905841,8.17770759072856e-10,7.70498333258064e-07
"ENSG00000279985",1.438079133516,-23.0558926319597,3.75286137995898,-6.14355029340619,8.06971049581589e-10,7.70498333258064e-07
"ENSG00000255693",1.15693149278544,-22.7756683919548,3.75789073170132,-6.0607585526159,1.35481077536864e-09,1.23660353521772e-06
"ENSG00000227392",1.68461202592318,-22.1533583733383,3.69512337151802,-5.99529600123671,2.03115127695464e-09,1.79775353022095e-06
"ENSG00000279000",1.19865062071719,-22.4536135515026,3.75331241168157,-5.98234601564724,2.19946409147662e-09,1.88946903481909e-06
"ENSG00000272282",1.16485381525007,-22.3505866530426,3.75628249686941,-5.95018789765418,2.67834834175673e-09,2.1730332879453e-06
"ENSG00000237813",1.21907708529366,-22.3611837380566,3.75583078493624,-5.95372502609598,2.62107044566107e-09,2.1730332879453e-06
"ENSG00000261124",1.40446393481002,-22.1176292233329,3.72205536458913,-5.94231602080815,2.81022980667308e-09,2.21841059981912e-06
"ENSG00000230596",1.2818645357462,-22.1769482447322,3.75331771453336,-5.90862536333123,3.44974235582469e-09,2.58359165971609e-06
"ENSG00000255057",1.00307364378544,-22.2199878517752,3.75833464329806,-5.91218982891755,3.37589149916868e-09,2.58359165971609e-06
"ENSG00000108309",0.95350945796416,-22.1828578907576,3.75830263619147,-5.90236072985248,3.58336582309211e-09,2.61657372402186e-06
"ENSG00000207475",1.50388140827998,-21.9798024759225,3.72729229169594,-5.89698922322015,3.70194028639736e-09,2.63722614353888e-06
"ENSG00000256843",1.0363957170355,-22.1506487616628,3.76224366205724,-5.88761673919614,3.91804408727006e-09,2.72471980240438e-06
"ENSG00000273424",0.882537868035498,-22.088577155489,3.76126701501783,-5.87264266729659,4.28902315879012e-09,2.91334391678934e-06
"ENSG00000146001",0.821359086071221,-21.9204591634095,3.76198087915276,-5.82683960061653,5.64868553737762e-09,3.74970016308467e-06
"ENSG00000243323",0.861213024050957,-21.8335757024019,3.75299106521246,-5.81764659787857,5.96819139141360e-09,3.7895420469654e-06
"ENSG00000183148",1.38550491535169,-21.8766576622763,3.75916147211244,-5.81955785208206,5.9003499501397e-09,3.7895420469654e-06
"ENSG00000252098",2.25224280402485,-21.6328948512558,3.72817719338321,-5.80253934540717,6.53180601263217e-09,4.05917000036086e-06
"ENSG00000273232",1.00671722014266,-21.7004879242605,3.76620128350732,-5.76190338506061,8.31706061113236e-09,4.9171519377815e-06
"ENSG00000260619",1.68765590305799,-21.6277538983397,3.75094081064742,-5.76595446053085,8.11969841518667e-09,4.9171519377815e-06
"ENSG00000256814",1.03945986916817,-21.6355147659529,3.75624530693262,-5.75987801595969,8.41747455796613e-09,4.9171519377815e-06
