"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000258450",2.35950619476055,-29.7785402725107,3.34438538722993,-8.90403970374223,5.38501766749652e-19,1.57285596032238e-14
"ENSG00000100276",3.49391958330494,-19.9674056621863,2.51533561716385,-7.93826697556188,2.05025663704841e-15,2.9941947927455e-11
"ENSG00000259075",3.05356334247233,-23.9102561991536,3.0946292949504,-7.72637169762745,1.10655218585377e-14,1.07733920814723e-10
"ENSG00000235631",1.7151064021518,-26.500163376205,3.71697639565055,-7.12949466324682,1.00738084247366e-12,7.35589491174268e-09
"ENSG00000176723",2.2224371663332,-24.2087933509741,3.41693417513934,-7.08494577598555,1.39098755527749e-12,8.12559290290899e-09
"ENSG00000279953",2.07948027567062,-24.0254253584339,3.47457819218186,-6.91463079244941,4.69083448552709e-12,1.8189524171656e-08
"ENSG00000232234",3.01009718282882,21.812433434013,3.14505860708239,6.93546167467068,4.04896658492791e-12,1.8189524171656e-08
"ENSG00000073146",1.75094063440903,-24.551417334688,3.55504057227321,-6.90608639636114,4.98206633022623e-12,1.8189524171656e-08
"ENSG00000256134",1.03749822045693,-26.0420995505533,3.78798501003968,-6.87492149032567,6.20240082236275e-12,2.01288581355079e-08
"ENSG00000168269",3.61949775097275,18.8948312602434,2.79996427065423,6.74824013230302,1.49649131576653e-11,4.37095183509087e-08
"ENSG00000274002",1.97316382638563,-23.6575988230332,3.56732398809097,-6.63174942954745,3.31731377918224e-11,8.80837280566862e-08
"ENSG00000277883",2.63342862102349,-22.9067864386319,3.50718655697042,-6.53138521904557,6.51641527069722e-11,1.5860954768877e-07
"ENSG00000182256",3.51029965773964,18.838033654931,2.8996443409789,6.49667043254394,8.21170782239772e-11,1.84498124674302e-07
"ENSG00000072315",1.44202091143638,-24.2873695512955,3.75181159627435,-6.47350457987109,9.57555101583488e-11,1.99773352907504e-07
"ENSG00000254479",1.23981482147711,-24.3763273586472,3.78797935633938,-6.43517956819173,1.23327442214689e-10,2.40143195480443e-07
"ENSG00000279724",2.26074411379538,-23.5053993030976,3.72204270347365,-6.31518796954181,2.6983330072973e-10,4.92580690482123e-07
"ENSG00000272892",1.88836371759047,-22.3547762403193,3.54557988397717,-6.30497040592505,2.88248968559909e-10,4.95245639629283e-07
"ENSG00000232480",1.77071191815484,-22.5910844783302,3.59936255856285,-6.27641258994214,3.46474022322863e-10,5.62211846889233e-07
"ENSG00000283033",1.95066978732479,-21.8415867958578,3.49469152250714,-6.2499326922533,4.10629607257353e-10,6.31245766777514e-07
"ENSG00000247934",2.23134273217144,20.9006722928815,3.35445102728126,6.23072810510554,4.64272280339289e-10,6.78023238207498e-07
"ENSG00000183128",1.96580150067379,-23.2232269450691,3.75057314818959,-6.19191414951578,5.94379252846652e-10,8.26696629387857e-07
"ENSG00000276724",1.48877136631589,-22.9949111352331,3.72113468494698,-6.1795428228529,6.42874950128763e-10,8.53504161061859e-07
"ENSG00000064300",1.21168000056774,-22.7711787717662,3.75289335696716,-6.06763278511286,1.29809284647054e-09,1.64846503737876e-06
"ENSG00000259100",2.07269405812132,-22.7153939075899,3.75437609346542,-6.05037783697979,1.44506508725967e-09,1.75864421119501e-06
"ENSG00000271387",1.72645080577518,-22.1126316022056,3.66484025411648,-6.03372318271389,1.60224441008859e-09,1.8719341891947e-06
"ENSG00000280194",1.53757460623761,-22.5139594925036,3.75304199857299,-5.99885626141781,1.98712152813333e-09,2.11150659704899e-06
"ENSG00000248590",1.66277536286537,-19.8088490760263,3.298249924603,-6.00586660466935,1.90312617393236e-09,2.11150659704899e-06
"ENSG00000220925",1.56296337305297,-22.2758373380011,3.71874420551397,-5.99015046664722,2.09646984779583e-09,2.11150659704899e-06
"ENSG00000272823",1.87324641391599,-22.4899157846149,3.75333766127057,-5.99197775800477,2.07304284136987e-09,2.11150659704899e-06
"ENSG00000204963",1.35756293626481,-22.2201845260497,3.72621190185908,-5.96321012097128,2.47330037131327e-09,2.4080052415106e-06
"ENSG00000283031",2.07756463844456,-18.7602652294879,3.16778393742321,-5.92220479681709,3.17653685501275e-09,2.92477366249675e-06
"ENSG00000234473",1.36100693845562,-22.0394552865053,3.72558136323406,-5.91570902302709,3.30448955294415e-09,2.92477366249675e-06
"ENSG00000131096",1.30354130515232,-22.0284887297555,3.72308647282704,-5.91672766413848,3.28409789882758e-09,2.92477366249675e-06
"ENSG00000258256",1.44219085954134,-22.1756372913465,3.75354923994908,-5.90791165207874,3.46471732398311e-09,2.97639598820291e-06
"ENSG00000272784",0.919677269604619,-22.0213609681063,3.75588449794572,-5.86316245351817,4.54133513282214e-09,3.69110964348527e-06
"ENSG00000254152",1.92669269263976,-22.0329722784981,3.75805450115122,-5.86286661668922,4.54943670109112e-09,3.69110964348527e-06
"ENSG00000259532",1.67636620788573,-21.355182863582,3.66848012353909,-5.82126170632758,5.84050324668406e-09,4.489195232346e-06
"ENSG00000131055",1.07242371095948,-21.8778354760487,3.75654086814401,-5.82393117603904,5.74792544058046e-09,4.489195232346e-06
"ENSG00000223510",1.90775583674889,-21.7557687823679,3.75011355033921,-5.80136267617817,6.57781544204278e-09,4.80312083577964e-06
