"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69275","G2/M Transition","20/347","183/8526",0.109289617486339,2.68531204233004,4.746861651023,5.15698855686937e-05,0.00201122553717906,0.00201122553717906,"CENPF/TICRR/CDC25C/HJURP/CCNB1/HMMR/CEP72/CDK1/NEK2/PLK1/TUBA1B/AURKA/CCNA2/GTSE1/FOXM1/TUBB/CCNB2/HAUS4/TPX2/PLK4",20
"R-HSA-8856688","Golgi-to-ER retrograde transport","15/347","119/8526",0.126050420168067,3.09713510764536,4.74505438972135,9.03070524581918e-05,0.0033810960440347,0.0033810960440347,"KIF11/KIF15/KIF26B/RACGAP1/KIF18A/KIF23/KIF20B/PAFAH1B3/KIF2C/TUBA1B/KIF4A/COPG2/CENPE/KIFC1/KIF20A",15
"R-HSA-174143","APC/C-mediated degradation of cell cycle proteins","11/347","74/8526",0.148648648648649,3.65238725757458,4.71992258653639,0.000181031751193325,0.00627576737470192,0.00627576737470192,"UBE2S/CDC20/CCNB1/CDK1/NEK2/PLK1/AURKB/BUB1B/AURKA/CCNA2/UBE2C",11
"R-HSA-453276","Regulation of mitotic cell cycle","11/347","74/8526",0.148648648648649,3.65238725757458,4.71992258653639,0.000181031751193325,0.00627576737470192,0.00627576737470192,"UBE2S/CDC20/CCNB1/CDK1/NEK2/PLK1/AURKB/BUB1B/AURKA/CCNA2/UBE2C",11
"R-HSA-9033658","Blood group systems biosynthesis","5/347","15/8526",0.333333333333333,8.19020172910663,5.7406125561286,0.000232427440745713,0.00776971730492811,0.0077697173049281,"FUT1/FUT9/FUT2/ABO/B3GALT5",5
"R-HSA-195258","RHO GTPase Effectors","24/347","273/8526",0.0879120879120879,2.16005320328087,4.01250083454237,0.00030167080703561,0.00973668535811487,0.00973668535811487,"CENPF/CDC25C/BUB1/NUF2/ZWINT/CDC20/PTK2/KIF18A/CDCA8/CIT/CENPH/IQGAP2/PLK1/AURKB/KIF2C/BUB1B/TUBA1B/BIRC5/CENPA/KNL1/PAK1/KIF14/CENPE/CENPM",24
"R-HSA-913709","O-linked glycosylation of mucins","8/347","44/8526",0.181818181818182,4.46738276133089,4.74942262743543,0.000340508050097065,0.0106238511630284,0.0106238511630284,"MUC1/MUC6/GALNT3/C1GALT1/GCNT1/GALNT12/GALNT6/MUC4",8
"R-HSA-5083632","Defective C1GALT1C1 causes TNPS","4/347","10/8526",0.4,9.82824207492795,5.753316076055,0.000465935242605636,0.0136286058462148,0.0136286058462148,"MUC1/MUC6/C1GALT1/MUC4",4
"R-HSA-6807047","Cholesterol biosynthesis via desmosterol (Bloch pathway)","4/347","10/8526",0.4,9.82824207492795,5.753316076055,0.000465935242605636,0.0136286058462148,0.0136286058462148,"DHCR7/MSMO1/EBP/DHCR24",4
"R-HSA-1483206","Glycerophospholipid biosynthesis","13/347","111/8526",0.117117117117117,2.87763844536179,4.10117428291796,0.000545964980143256,0.0150300947474732,0.0150300947474732,"CRLS1/PLA2G3/MBOAT1/CHKA/PLBD1/PITPNM3/LPIN3/OSBPL10/PLA2G12A/LPCAT1/SELENOI/PEMT/PNPLA3",13
"R-HSA-2132295","MHC class II antigen presentation","13/347","111/8526",0.117117117117117,2.87763844536179,4.10117428291796,0.000545964980143256,0.0150300947474732,0.0150300947474732,"KIF11/HLA-DMA/DNM2/KIF15/RACGAP1/KIF18A/SPTBN2/KIF23/KIF2C/TUBA1B/KIF4A/CENPE/KIF20A",13
"R-HSA-8854518","AURKA Activation by TPX2","10/347","72/8526",0.138888888888889,3.41258405379443,4.23427837555095,0.00061878682850232,0.0165481277565192,0.0165481277565192,"HMMR/CEP72/CDK1/NEK2/PLK1/AURKA/TUBB/HAUS4/TPX2/PLK4",10
"R-HSA-2514853","Condensation of Prometaphase Chromosomes","4/347","11/8526",0.363636363636364,8.93476552266178,5.42375347220379,0.000708794440584036,0.0179305836861259,0.0179305836861259,"CCNB1/CDK1/NCAPH/CCNB2",4
"R-HSA-196780","Biotin transport and metabolism","4/347","11/8526",0.363636363636364,8.93476552266178,5.42375347220379,0.000708794440584036,0.0179305836861259,0.0179305836861259,"MCCC2/PCCB/ACACA/MCCC1",4
"R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","9/347","63/8526",0.142857142857143,3.51008645533141,4.11868531833774,0.000935424914919454,0.0230409926411739,0.0230409926411739,"UBE2S/CDC20/CCNB1/CDK1/NEK2/PLK1/BUB1B/CCNA2/UBE2C",9
"R-HSA-176412","Phosphorylation of the APC/C","5/347","20/8526",0.25,6.14265129682997,4.74243310138361,0.00101424624053137,0.0240850223990584,0.0240850223990584,"UBE2S/CCNB1/CDK1/PLK1/UBE2C",5
"R-HSA-1482925","Acyl chain remodelling of PG","4/347","12/8526",0.333333333333333,8.19020172910663,5.13365527462272,0.00102927446149822,0.0240850223990584,0.0240850223990584,"CRLS1/PLA2G3/PLA2G12A/LPCAT1",4
"R-HSA-3296482","Defects in vitamin and cofactor metabolism","5/347","21/8526",0.238095238095238,5.85014409221902,4.58341262535591,0.00128730245503131,0.0293881731197391,0.0293881731197391,"MCCC2/MMAB/PCCB/ACACA/MCCC1",5
"R-HSA-75035","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex","4/347","14/8526",0.285714285714286,7.02017291066282,4.64321723373632,0.00195100589382847,0.042468407363336,0.042468407363336,"CDC25C/CCNB1/CDK1/CCNA2",4
"R-HSA-162658","Golgi Cisternae Pericentriolar Stack Reorganization","4/347","14/8526",0.285714285714286,7.02017291066282,4.64321723373632,0.00195100589382847,0.042468407363336,0.042468407363336,"CCNB1/CDK1/PLK1/CCNB2",4
