"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-427359","SIRT1 negatively regulates rRNA expression","7/455","35/8526",0.2,3.74769230769231,3.8673361093262,0.00214953868878077,0.0296689414081099,0.0296689414081099,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-416476","G alpha (q) signalling events","15/455","123/8526",0.121951219512195,2.28517823639775,3.40869351928695,0.00222096931889731,0.0302810207137463,0.0302810207137463,"TRPC6/RGS17/RGS4/SAA1/PLCB1/LPAR3/HRAS/GPR68/GNG11/RGS2/LPAR1/EDNRB/MMP3/GNB4/RGS5",15
"R-HSA-9009391","Extra-nuclear estrogen signaling","10/455","66/8526",0.151515151515152,2.83916083916084,3.56119467886857,0.00242462287498521,0.0326593780028129,0.0326593780028129,"HSPB1/S1PR3/AREG/HRAS/GNG11/GNAI1/SPHK1/MMP3/GNB4/EREG",10
"R-HSA-68616","Assembly of the ORC complex at the origin of replication","7/455","36/8526",0.194444444444444,3.64358974358974,3.77381565747697,0.00254821910954277,0.033915582910343,0.033915582910343,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-166663","Initial triggering of complement","4/455","12/8526",0.333333333333333,6.24615384615385,4.31771568151556,0.00281119542368475,0.0366071246939765,0.0366071246939765,"C3/C1R/GZMM/C1S",4
"R-HSA-983712","Ion channel transport","15/455","126/8526",0.119047619047619,2.23076923076923,3.30454353971482,0.00281593266876743,0.0366071246939765,0.0366071246939765,"TTYH2/TRPC6/ATP6V1B2/ATP8B4/OSTM1/ATP6V0E1/MCOLN1/ATP6V1E1/TRPV2/BEST1/ATP13A1/STOM/ATP2A3/TRPA1/ATP6V0A1",15
"R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","7/455","37/8526",0.189189189189189,3.54511434511434,3.68357157114729,0.00300139055035805,0.0377028610707899,0.0377028610707899,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-110329","Cleavage of the damaged pyrimidine","7/455","37/8526",0.189189189189189,3.54511434511434,3.68357157114729,0.00300139055035805,0.0377028610707899,0.0377028610707899,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-73928","Depyrimidination","7/455","37/8526",0.189189189189189,3.54511434511434,3.68357157114729,0.00300139055035805,0.0377028610707899,0.0377028610707899,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-166658","Complement cascade","6/455","28/8526",0.214285714285714,4.01538461538462,3.79448277343569,0.00308234751617236,0.0378688409129748,0.0378688409129748,"CLU/C3/C1R/GZMM/PROS1/C1S",6
"R-HSA-6806667","Metabolism of fat-soluble vitamins","6/455","28/8526",0.214285714285714,4.01538461538462,3.79448277343569,0.00308234751617236,0.0378688409129748,0.0378688409129748,"APOE/SDC2/GPC1/LRP12/LRP1/AKR1C1",6
"R-HSA-9006931","Signaling by Nuclear Receptors","23/455","233/8526",0.0987124463519313,1.84971937933311,3.12238800249598,0.00314431013358302,0.0382102035798458,0.0382102035798458,"H4C8/HSPB1/H2BC5/RDH10/S1PR3/APOE/H4C9/CYP26B1/PDK4/H2AC6/AREG/H2BC12/HRAS/GNG11/H3C6/DHRS9/GNAI1/CTSD/SPHK1/H2BC11/MMP3/GNB4/EREG",23
"R-HSA-9764265","Regulation of CDH1 Expression and Function","18/455","167/8526",0.107784431137725,2.01971441731921,3.15972183340651,0.00340033282255477,0.0404422563363429,0.0404422563363429,"H4C8/H2BC5/ZEB1/ACTG2/MCRIP1/SNAI2/TWIST1/ACTA2/H4C9/CTSL/H2AC6/H2BC12/MDM2/H3C6/ZEB2/H2BC11/FURIN/CTSB",18
"R-HSA-9764274","Regulation of Expression and Function of Type I Classical Cadherins","18/455","167/8526",0.107784431137725,2.01971441731921,3.15972183340651,0.00340033282255477,0.0404422563363429,0.0404422563363429,"H4C8/H2BC5/ZEB1/ACTG2/MCRIP1/SNAI2/TWIST1/ACTA2/H4C9/CTSL/H2AC6/H2BC12/MDM2/H3C6/ZEB2/H2BC11/FURIN/CTSB",18
"R-HSA-9843970","Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex","7/455","38/8526",0.184210526315789,3.45182186234818,3.59639383567575,0.00351372798725756,0.0413510304184626,0.0413510304184626,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/H3C6/H2BC11",7
"R-HSA-5083635","Defective B3GALTL causes PpS","6/455","29/8526",0.206896551724138,3.87692307692308,3.6845432456527,0.00371468644470161,0.0432606192205875,0.0432606192205875,"ADAMTS1/ADAMTS5/ADAMTSL5/SPON2/ADAMTS19/THBS1",6
"R-HSA-9830674","Formation of the ureteric bud","4/455","13/8526",0.307692307692308,5.76568047337278,4.08267207818325,0.003891187805228,0.0448489481056175,0.0448489481056175,"GREM1/SALL1/GDNF/ITGA8",4
"R-HSA-5617472","Activation of anterior HOX genes in hindbrain development during early embryogenesis","11/455","82/8526",0.134146341463415,2.51369606003752,3.27009758493411,0.00400435189654817,0.0452208628317258,0.0452208628317258,"H4C8/H2BC5/HOXA3/HOXB2/H4C9/HOXB3/H2AC6/H2BC12/H3C6/PBX1/H2BC11",11
"R-HSA-5619507","Activation of HOX genes during differentiation","11/455","82/8526",0.134146341463415,2.51369606003752,3.27009758493411,0.00400435189654817,0.0452208628317258,0.0452208628317258,"H4C8/H2BC5/HOXA3/HOXB2/H4C9/HOXB3/H2AC6/H2BC12/H3C6/PBX1/H2BC11",11
"R-HSA-73929","Base-Excision Repair, AP Site Formation","7/455","39/8526",0.179487179487179,3.36331360946746,3.51209113496566,0.00409001706345902,0.0457263907694719,0.0457263907694719,"H4C8/H2BC5/H4C9/H2AC6/H2BC12/TERF2IP/H2BC11",7
"R-HSA-9660826","Purinergic signaling in leishmaniasis infection","5/455","21/8526",0.238095238095238,4.46153846153846,3.77077716449954,0.00422793557254827,0.0459810553100341,0.0459810553100341,"HMOX1/C3/NT5E/TXNIP/CASP1",5
"R-HSA-9664424","Cell recruitment (pro-inflammatory response)","5/455","21/8526",0.238095238095238,4.46153846153846,3.77077716449954,0.00422793557254827,0.0459810553100341,0.0459810553100341,"HMOX1/C3/NT5E/TXNIP/CASP1",5
"R-HSA-1500931","Cell-Cell communication","26/455","281/8526",0.0925266903914591,1.73380782918149,2.9698149524712,0.0042361795142518,0.0459810553100341,0.0459810553100341,"SIRPA/H4C8/H2BC5/ZEB1/ACTG2/MCRIP1/FLNC/SNAI2/TWIST1/CDH11/ACTA2/H4C9/CTSL/H2AC6/H2BC12/KIRREL1/FERMT2/MDM2/H3C6/ZEB2/IL6ST/H2BC11/FURIN/FOXF1/CTSB/IL6",26
"R-HSA-5173214","O-glycosylation of TSR domain-containing proteins","6/455","30/8526",0.2,3.74769230769231,3.57940377600038,0.00443838719794441,0.0477126623779024,0.0477126623779024,"ADAMTS1/ADAMTS5/ADAMTSL5/SPON2/ADAMTS19/THBS1",6
"R-HSA-6806834","Signaling by MET","10/455","72/8526",0.138888888888889,2.6025641025641,3.24219965542283,0.00463509340233201,0.0493527087981637,0.0493527087981637,"LAMA2/COL5A2/HGF/HRAS/ITGA2/LAMA4/LAMA1/COL1A1/COL1A2/COL3A1",10
"R-HSA-8936459","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","9/455","61/8526",0.147540983606557,2.76469104665826,3.2840467966075,0.00472921140302649,0.0498797957413549,0.0498797957413549,"H4C8/H2BC5/MYL9/H4C9/H2AC6/H2BC12/H3C6/H2BC11/THBS1",9
