"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","19/455","90/8526",0.211111111111111,3.95589743589744,6.69316526357545,1.91059859682605e-07,1.26485076149091e-05,1.26485076149091e-05,"FGF2/ZEB1/LIF/HMOX1/SAA1/TWIST1/CD36/CCL2/HGF/CXCL8/PTGS2/MMP1/IL4R/MMP3/COL1A2/IL13RA2/IL6/CDKN1A/TIMP1",19
"R-HSA-419037","NCAM1 interactions","11/455","30/8526",0.366666666666667,6.87076923076923,7.64781904211503,1.92329722230282e-07,1.26485076149091e-05,1.26485076149091e-05,"CACNA1C/COL5A2/CACNA1H/GDNF/COL4A2/COL4A1/COL6A1/COL4A5/COL6A2/PRNP/COL3A1",11
"R-HSA-9006934","Signaling by Receptor Tyrosine Kinases","50/455","455/8526",0.10989010989011,2.05917159763314,5.51312157408578,6.56124503199958e-07,4.07526219209752e-05,4.07526219209752e-05,"FGF2/HSPB1/AXL/PLAT/ATP6V1B2/GAB2/BDNF/LAMA2/COL5A2/APOE/MEF2C/ATP6V0E1/FLRT2/NRG1/FGF7/ATP6V1E1/VEGFD/HGF/SPARC/RRAD/AREG/HRAS/COL4A2/COL4A1/COL6A1/CTSD/NAB2/COL4A5/NRP1/SPHK1/SH2D2A/ITGA2/LAMA4/LCK/VAV1/LAMA1/FGFR1/COL1A1/ID3/COL6A2/FURIN/COL1A2/SHC3/THBS1/EREG/CYBA/ATP6V0A1/APH1B/PDGFRA/COL3A1",50
"R-HSA-375165","NCAM signaling for neurite out-growth","13/455","49/8526",0.26530612244898,4.97142857142857,6.61931308044326,1.07744144639955e-06,6.33989230039316e-05,6.33989230039316e-05,"CACNA1C/COL5A2/CACNA1H/HRAS/GDNF/COL4A2/COL4A1/COL6A1/COL4A5/FGFR1/COL6A2/PRNP/COL3A1",13
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","13/455","53/8526",0.245283018867925,4.59622641509434,6.23527449008261,2.83707233883837e-06,0.000155113419334071,0.000155113419334071,"COL5A2/COL4A6/COL7A1/COL4A2/COL4A1/COL6A1/COL4A5/COL8A1/COL1A1/COL6A2/COL1A2/COL16A1/COL3A1",13
"R-HSA-2214320","Anchoring fibril formation","7/455","14/8526",0.5,9.36923076923077,7.44085723426032,2.91357943292978e-06,0.000155113419334071,0.000155113419334071,"COL4A6/COL7A1/COL4A2/COL4A1/COL4A5/COL1A1/COL1A2",7
"R-HSA-3000170","Syndecan interactions","9/455","25/8526",0.36,6.74584615384615,6.83090441438292,3.07978621020507e-06,0.00015650913559133,0.00015650913559133,"FGF2/COL5A2/SDC2/ITGB5/ITGA2/COL1A1/COL1A2/THBS1/COL3A1",9
"R-HSA-8874081","MET activates PTK2 signaling","9/455","27/8526",0.333333333333333,6.24615384615385,6.48228629882929,6.41956419805225e-06,0.000304018401155471,0.000304018401155471,"LAMA2/COL5A2/HGF/ITGA2/LAMA4/LAMA1/COL1A1/COL1A2/COL3A1",9
"R-HSA-9638630","Attachment of bacteria to epithelial cells","8/455","21/8526",0.380952380952381,7.13846153846154,6.68684483837918,6.79826478433522e-06,0.000304018401155471,0.000304018401155471,"LAMA2/COL5A2/COL4A6/COL4A2/COL4A1/COL4A5/LAMA4/LAMA1",8
"R-HSA-9931953","Biofilm formation","8/455","21/8526",0.380952380952381,7.13846153846154,6.68684483837918,6.79826478433522e-06,0.000304018401155471,0.000304018401155471,"LAMA2/COL5A2/COL4A6/COL4A2/COL4A1/COL4A5/LAMA4/LAMA1",8
