"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006935","chemotaxis","40/641","322/12837",0.124223602484472,2.487766591409,6.19844100642328,8.92254775567126e-08,1.02336665786574e-05,7.12311391211707e-06,"FGF2/SCRIB/HSPB1/GREM1/SAA1/CXCL6/FLRT2/NRG1/CCN1/FGF7/CCL2/PLAU/C3/VEGFD/HGF/ADGRA2/CXCL8/HRAS/GDNF/CXCR6/TNFAIP6/JAM3/MICOS10-NBL1/NRP1/CMTM3/LPAR1/ITGA2/NBL1/SWAP70/EDNRB/FGFR1/CD4/UNC5C/THBS1/SBDS/PDGFRA/PRKD1/RARRES2/IL6/WNT5A",40
"GO:0042330","taxis","40/641","322/12837",0.124223602484472,2.487766591409,6.19844100642328,8.92254775567126e-08,1.02336665786574e-05,7.12311391211707e-06,"FGF2/SCRIB/HSPB1/GREM1/SAA1/CXCL6/FLRT2/NRG1/CCN1/FGF7/CCL2/PLAU/C3/VEGFD/HGF/ADGRA2/CXCL8/HRAS/GDNF/CXCR6/TNFAIP6/JAM3/MICOS10-NBL1/NRP1/CMTM3/LPAR1/ITGA2/NBL1/SWAP70/EDNRB/FGFR1/CD4/UNC5C/THBS1/SBDS/PDGFRA/PRKD1/RARRES2/IL6/WNT5A",40
"GO:0042445","hormone metabolic process","23/641","130/12837",0.176923076923077,3.54315372614905,6.68125326997696,1.02666055720302e-07,1.12321221852582e-05,7.81808603841653e-06,"RDH10/DUOX2/DAB2/AKR1C2/DUOXA2/DKK3/CYP26B1/CACNA1H/CTSL/AKR1B1/BMP2/ADM/PAPSS2/DHRS9/HSD17B2/CTSK/EDNRB/CES2/DIO2/FURIN/AKR1C1/CPQ/CTSB",23
"GO:0060485","mesenchyme development","31/641","216/12837",0.143518518518519,2.87417663373202,6.36833164766141,1.03371432075517e-07,1.12321221852582e-05,7.81808603841653e-06,"DAB2/BASP1/GREM1/ACTG2/MCRIP1/FOXD1/MEF2C/SNAI2/TWIST1/NRG1/ACTA2/HAND2/ADAMTS5/FRZB/HGF/BMP2/FERMT2/RBM24/GDNF/NRP1/TCF21/TBX2/FGFR1/CITED2/COL1A1/VASN/FOXF1/IL6/MAD2L2/WNT5A/IL1B",31
"GO:0007507","heart development","39/641","317/12837",0.123028391167192,2.46383066679134,6.04997345374363,1.67713195262198e-07,1.75604337760301e-05,1.22228889490809e-05,"FGF2/HEG1/BASP1/RGS4/GREM1/CACNA1C/SALL1/PCNA/POPDC3/MEF2C/SNAI2/TWIST1/FLRT2/CDH11/NRG1/HAND2/ADAMTS5/TCAP/BMP2/RBM24/RGS2/NRP1/PDLIM3/FBN1/MSC/INHBA/AKAP6/ADAMTS19/TEK/TBX2/CITED2/FOXF1/GJA1/EMILIN1/PDGFRA/COL3A1/CDKN1A/POPDC1/WNT5A",39
"GO:0061061","muscle structure development","48/641","434/12837",0.110599078341014,2.21491477170608,5.90285977586076,1.74051572620173e-07,1.75604337760301e-05,1.22228889490809e-05,"SIRT2/MYL9/BASP1/RGS4/GREM1/BDNF/LAMA2/POPDC3/FLNC/MEF2C/TMEM204/TWIST1/SGCB/NRG1/CYP26B1/PLCB1/CACNA1H/ADAMTS5/TCAP/CFL2/GPC1/BMP2/MMP14/RBM24/DMPK/ADM/MDM2/PLEKHO1/RCAN1/RGS2/CAVIN4/COL6A1/ITGA8/TCF21/PDLIM3/MSC/AKAP6/EDNRB/TBX2/FHL1/LAMA1/ID3/EREG/BOC/PDGFRA/PRKD1/COL3A1/POPDC1",48
"GO:0010955","negative regulation of protein processing","8/641","15/12837",0.533333333333333,10.6808112324493,8.60032090055019,1.74370982033721e-07,1.75604337760301e-05,1.22228889490809e-05,"PLAT/LRRK2/PLAU/MDM2/FURIN/GAS1/THBS1/PRNP",8
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","33/641","245/12837",0.13469387755102,2.69744977554204,6.14989610492968,1.85831411522171e-07,1.82689975755962e-05,1.27160827246959e-05,"DAB2/CDKN2B/GREM1/FOXD1/FST/DKK3/CCN1/GREM2/PPM1A/BMP2/ITGB5/FERMT2/LTBP3/SAP30L/TNFAIP6/MICOS10-NBL1/ZEB2/TWSG1/FBN1/FSTL1/INHBA/NBL1/GDF15/FBN2/RGMB/TMEM100/CITED2/VASN/FURIN/COL1A2/THBS1/EMILIN1/COL3A1",33
"GO:0010817","regulation of hormone levels","38/641","311/12837",0.122186495176849,2.44697041900969,5.92200547696582,2.88909281743135e-07,2.76824047163229e-05,1.92682574363845e-05,"RDH10/CACNA2D1/DUOX2/DAB2/AKR1C2/LIF/ADORA1/FOXD1/DUOXA2/DKK3/CYP26B1/CACNA1H/CTSL/AKR1B1/ABCA12/BMP2/ADM/UCN/PAPSS2/DHRS9/HSD17B2/CTSK/IL6ST/INHBA/EDNRB/IL11/CES2/DIO2/FURIN/GJA1/AKR1C1/TRPA1/CPQ/PRKD1/CTSB/IL6/SLC3A2/IL1B",38
"GO:0071560","cellular response to transforming growth factor beta stimulus","29/641","203/12837",0.142857142857143,2.86093158012035,6.12693326163676,2.9499292989058e-07,2.76824047163229e-05,1.92682574363845e-05,"PDE3A/DAB2/CDKN2B/MEF2C/DKK3/ACTA2/PPM1A/BMP2/ITGB5/FERMT2/LTBP3/SAP30L/DDR2/COL4A2/ZEB2/TWSG1/FBN1/GDF15/FBN2/CITED2/COL1A1/VASN/FURIN/NR3C1/COL1A2/THBS1/EMILIN1/COL3A1/WNT5A",29
