"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSG00000186367",1.29116181407529,-26.6288735254716,3.22858005127992,-8.24785915248253,1.61257268718787e-16,5.79139354876652e-12,TRUE,"Down"
"ENSG00000185686",0.711243695557161,-25.7064274131011,3.79331201839264,-6.77677641292314,1.22886836229709e-11,2.20667891817689e-07,TRUE,"Down"
"ENSG00000272209",1.27521391310044,-21.3718234413554,3.20557557849409,-6.66707831964312,2.60945859787713e-11,3.12386986947198e-07,TRUE,"Down"
"ENSG00000231256",1.17972023761506,-21.0966225158388,3.27419432994396,-6.44330189045313,1.16901834379897e-10,1.04960311997991e-06,TRUE,"Down"
"ENSG00000236069",0.423832650218258,-23.6334450582763,3.79330160426399,-6.23031003696365,4.65512985593829e-10,3.34368667292335e-06,TRUE,"Down"
"ENSG00000235288",0.995924522141281,-20.7130412541018,3.44610738305777,-6.01056175902531,1.84881560301632e-09,1.1066393927788e-05,TRUE,"Down"
"ENSG00000183695",0.859522567916432,-21.1331049315546,3.56861778105573,-5.92193006596033,3.18184939412861e-09,1.63247055915336e-05,TRUE,"Down"
"ENSG00000201700",1.19375566763398,-21.4837200748581,3.65384315352931,-5.87975979595801,4.10862269858233e-09,1.84446344496107e-05,TRUE,"Down"
"ENSG00000277498",2.66409096476524,14.540157446251,2.52873232059832,5.74997888381111,8.92545959063331e-09,3.56165506375561e-05,TRUE,"Up"
"ENSG00000271984",1.07673156380769,18.8920749410207,3.37445370146962,5.59855805186866,2.16142026372165e-08,5.77433414385145e-05,TRUE,"Up"
"ENSG00000232015",1.08079811157468,18.877911992117,3.37617043398199,5.5915162937588,2.250951662692e-08,5.77433414385145e-05,TRUE,"Up"
"ENSG00000147896",1.04900945738387,19.0562784325445,3.39864859997952,5.6070163984177,2.05844164812251e-08,5.77433414385145e-05,TRUE,"Up"
"ENSG00000280068",0.764433163289327,-20.9903532185301,3.73393241124927,-5.6215139715149,1.89291186590418e-08,5.77433414385145e-05,TRUE,"Down"
"ENSG00000184106",0.793258914010319,-20.9684303507378,3.72751724631597,-5.62530740037798,1.85177913388078e-08,5.77433414385145e-05,TRUE,"Down"
"ENSG00000231795",0.71183127364927,-20.7725365858708,3.73410287673128,-5.56292562674502,2.65288973494248e-08,5.95474262129526e-05,TRUE,"Down"
"ENSG00000213063",0.780504718860874,-20.9254784758349,3.75910588470384,-5.56661054986045,2.59742019342503e-08,5.95474262129526e-05,TRUE,"Down"
"ENSG00000218502",0.748165764844081,-20.6527994775188,3.74354667924704,-5.51690715972931,3.45017578196028e-08,6.88386739074009e-05,TRUE,"Down"
