"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSG00000258450",2.35950619476055,-29.7785402725107,3.34438538722993,-8.90403970374223,5.38501766749652e-19,1.57285596032238e-14,TRUE,"Down"
"ENSG00000100276",3.49391958330494,-19.9674056621863,2.51533561716385,-7.93826697556188,2.05025663704841e-15,2.9941947927455e-11,TRUE,"Down"
"ENSG00000259075",3.05356334247233,-23.9102561991536,3.0946292949504,-7.72637169762745,1.10655218585377e-14,1.07733920814723e-10,TRUE,"Down"
"ENSG00000235631",1.7151064021518,-26.500163376205,3.71697639565055,-7.12949466324682,1.00738084247366e-12,7.35589491174268e-09,TRUE,"Down"
"ENSG00000176723",2.2224371663332,-24.2087933509741,3.41693417513934,-7.08494577598555,1.39098755527749e-12,8.12559290290899e-09,TRUE,"Down"
"ENSG00000279953",2.07948027567062,-24.0254253584339,3.47457819218186,-6.91463079244941,4.69083448552709e-12,1.8189524171656e-08,TRUE,"Down"
"ENSG00000232234",3.01009718282882,21.812433434013,3.14505860708239,6.93546167467068,4.04896658492791e-12,1.8189524171656e-08,TRUE,"Up"
"ENSG00000073146",1.75094063440903,-24.551417334688,3.55504057227321,-6.90608639636114,4.98206633022623e-12,1.8189524171656e-08,TRUE,"Down"
"ENSG00000256134",1.03749822045693,-26.0420995505533,3.78798501003968,-6.87492149032567,6.20240082236275e-12,2.01288581355079e-08,TRUE,"Down"
"ENSG00000168269",3.61949775097275,18.8948312602434,2.79996427065423,6.74824013230302,1.49649131576653e-11,4.37095183509087e-08,TRUE,"Up"
"ENSG00000274002",1.97316382638563,-23.6575988230332,3.56732398809097,-6.63174942954745,3.31731377918224e-11,8.80837280566862e-08,TRUE,"Down"
"ENSG00000277883",2.63342862102349,-22.9067864386319,3.50718655697042,-6.53138521904557,6.51641527069722e-11,1.5860954768877e-07,TRUE,"Down"
"ENSG00000182256",3.51029965773964,18.838033654931,2.8996443409789,6.49667043254394,8.21170782239772e-11,1.84498124674302e-07,TRUE,"Up"
"ENSG00000072315",1.44202091143638,-24.2873695512955,3.75181159627435,-6.47350457987109,9.57555101583488e-11,1.99773352907504e-07,TRUE,"Down"
"ENSG00000254479",1.23981482147711,-24.3763273586472,3.78797935633938,-6.43517956819173,1.23327442214689e-10,2.40143195480443e-07,TRUE,"Down"
"ENSG00000279724",2.26074411379538,-23.5053993030976,3.72204270347365,-6.31518796954181,2.6983330072973e-10,4.92580690482123e-07,TRUE,"Down"
"ENSG00000272892",1.88836371759047,-22.3547762403193,3.54557988397717,-6.30497040592505,2.88248968559909e-10,4.95245639629283e-07,TRUE,"Down"
"ENSG00000232480",1.77071191815484,-22.5910844783302,3.59936255856285,-6.27641258994214,3.46474022322863e-10,5.62211846889233e-07,TRUE,"Down"
"ENSG00000283033",1.95066978732479,-21.8415867958578,3.49469152250714,-6.2499326922533,4.10629607257353e-10,6.31245766777514e-07,TRUE,"Down"
